"","Zipcode","Branch","July","August","September","October","November","December","January","February","March","April","May","June","July.1","August.1","September.1","October.1","November.1","December.1","January.1","February.1","March.1","April.1","May.1","June.1","July.2","August.2","September.2","October.2","November.2","December.2","January.2","February.2","March.2","April.2","May.2","June.2","FacName","lat","lon","ZipCode","sum_2014","sum_2015","Small...Very.Small","Medium","Large.and.Very.Large","Total.Businesses","Area","Business.Density.Small.Businesses","Business.Density.Medium.Businesses","Business.Density.Large.Businesses","Business.Density.Total.Businesses"
"15",11211,"Williamsburgh",366,457,397,307,407,323,360,334,343,10,324,335,393,329,374,326,335,341,320,329,378,400,392,414,419,407,385,384,357,347,362,301,320,338,365,389,"Williamsburgh Library",40.7069161,-73.9575752,11211,78322,4750,"2784",32,8,"2824",5952757,0.467682454,0.00537566,0.001343915,0.474402029
"16",11212,"Stone Avenue",188,405,236,177,222,NA,151,194,NA,188,1,130,284,261,298,356,306,407,357,305,320,307,329,356,372,383,397,396,322,340,327,336,419,483,559,577,"Stone Ave Library",40.6644738,-73.9051607,11212,78322,4258,"725",3,3,"731",3983224,0.182013364,0.000753159,0.000753159,0.183519682
"17",11212,"Brownsville",NA,200,273,205,270,247,191,228,218,241,230,294,317,267,292,275,218,310,220,201,229,242,225,299,309,279,293,309,290,271,284,305,451,496,461,476,"Brownsville Library",40.6713447,-73.9083882,11212,78322,3404,"725",3,3,"731",3983224,0.182013364,0.000753159,0.000753159,0.183519682
"18",11212,"East Flatbush",443,476,959,398,670,487,436,495,431,265,315,340,403,377,402,417,378,465,355,356,316,341,322,409,440,429,449,486,412,446,426,417,469,460,469,476,"East Flatbush Library",40.6556168,-73.9150503,11212,78322,4981,"725",3,3,"731",3983224,0.182013364,0.000753159,0.000753159,0.183519682
"19",11213,"Eastern Parkway",586,674,605,974,220,450,493,575,542,425,464,446,478,524,531,559,520,625,550,508,589,661,621,616,619,611,13,4,17,10,0,NA,0,408,546,642,"Eastern Parkway Library",40.6689007,-73.9338393,11213,78322,7401,"751",3,1,"755",2825709,0.265774006,0.00106168,0.000353893,0.26718958
"20",11214,"New Utrecht",997,959,1002,710,956,274,641,916,936,821,804,753,831,794,875,779,788,969,773,803,841,996,898,1073,1028,1180,1066,1024,1029,1023,844,943,934,1074,1013,564,"New Utrecht Library",40.6079897,-74.0033984,11214,78322,11448,"1791",14,2,"1807",5658758,0.316500547,0.002474041,0.000353434,0.319328022
"21",11214,"Ulmer Park",274,275,29,224,286,284,223,289,337,303,281,312,328,346,306,302,270,354,283,250,284,8,4,0,0,0,0,0,NA,0,0,NA,0,NA,NA,0,"Ulmer Park Library",40.5926353,-73.9886539,11214,78322,2735,"1791",14,2,"1807",5658758,0.316500547,0.002474041,0.000353434,0.319328022
"22",11215,"Park Slope",534,553,686,450,634,334,498,655,609,556,581,56,573,563,640,568,506,603,548,537,609,583,551,608,553,587,620,589,595,531,539,634,681,620,552,605,"Park Slope Library",40.6682254,-73.9834295,11215,78322,7442,"2135",12,2,"2149",5641351,0.378455444,0.00212715,0.000354525,0.380937119
"23",11216,"Brower Park",344,375,354,282,310,259,304,324,263,226,255,311,301,294,261,275,210,254,232,212,243,236,235,280,292,256,307,316,316,354,350,294,326,305,314,329,"Brower Park Library",40.6753677,-73.9485709,11216,78322,3325,"710",6,0,"716",2422753,0.293055049,0.002476522,0,0.295531571
"24",11216,"Marcy",380,430,465,379,524,380,355,515,430,386,355,373,342,238,253,380,337,422,357,306,317,379,357,291,216,229,222,326,341,342,367,349,414,381,356,309,"Marcy Library",40.6916092,-73.9512907,11216,78322,4195,"710",6,0,"716",2422753,0.293055049,0.002476522,0,0.295531571
"25",11217,"Pacific",363,429,404,372,466,349,382,492,520,374,515,422,423,409,468,470,367,506,413,390,424,431,454,454,404,397,500,551,457,507,484,551,572,609,538,609,"Pacific Library",40.6834782,-73.9785554,11217,78322,5613,"1203",20,5,"1228",1944333,0.618721176,0.010286304,0.002571576,0.631579056
"26",11218,"Kensington",647,721,702,577,726,670,559,735,697,613,683,559,676,628,667,689,608,814,639,630,681,623,635,592,645,577,616,662,657,713,636,621,695,760,699,676,"Kensington Library",40.6312676,-73.9753772,11218,78322,8527,"1674",10,3,"1687",3699262,0.452522692,0.002703242,0.000810973,0.456036907
"27",11218,"Windsor Terrace",548,578,634,454,542,440,439,460,472,394,415,531,463,475,435,396,377,465,377,392,415,423,352,430,449,409,474,431,403,404,365,379,464,457,439,497,"Windsor Terrace Library",40.6487139,-73.9767736,11218,78322,5449,"1674",10,3,"1687",3699262,0.452522692,0.002703242,0.000810973,0.456036907
"28",11219,"McKinley Park",768,746,753,515,720,604,495,657,641,664,671,353,766,766,656,572,556,731,571,542,543,588,585,575,639,650,650,563,548,531,479,309,77,493,531,660,"Mckinley Park Library",40.6292075,-74.0118895,11219,78322,8090,"2751",19,7,"2777",3838518,0.716682845,0.004949827,0.00182362,0.723456292
"29",11219,"Borough Park",392,345,316,276,362,298,277,256,252,266,317,364,390,340,305,278,250,301,210,209,222,279,235,349,329,344,350,375,348,367,368,392,381,371,457,368,"Borough Park Library",40.6388766,-73.9890102,11219,78322,3697,"2751",19,7,"2777",3838518,0.716682845,0.004949827,0.00182362,0.723456292
"30",11220,"Sunset Park",930,1002,995,686,923,752,663,900,926,808,831,677,940,963,850,852,826,1100,807,797,820,917,822,998,1105,1086,1064,906,798,807,762,779,858,858,767,950,"Sunset Park Library",40.6459113,-74.0136168,11220,78322,11797,"2447",26,2,"2475",4639238,0.527457311,0.005604369,0.000431105,0.533492785
"31",11221,"Dekalb",483,536,582,430,526,377,419,499,527,409,474,512,534,495,515,516,439,563,435,383,433,429,451,507,497,548,567,529,489,453,460,446,550,484,493,556,"Dekalb Library",40.6948198,-73.9283989,11221,78322,6197,"609",6,0,"615",3582802,0.169978693,0.001674667,0,0.17165336
"32",11222,"Greenpoint",373,344,286,331,438,368,338,395,444,375,363,322,404,145,356,371,357,473,356,353,435,520,377,453,473,464,512,438,440,474,440,443,434,475,500,502,"Greenpoint Library",40.726017,-73.9507252,11222,78322,5073,"1570",11,3,"1584",3947645,0.397705467,0.002786471,0.000759947,0.401251886
"33",11223,"Homecrest",170,161,149,108,131,121,132,131,142,137,144,176,151,160,160,154,151,183,145,158,160,182,214,204,192,198,161,161,187,187,157,196,244,287,245,253,"Homecrest Library",40.595231,-73.9605949,11223,78322,2214,"2041",10,5,"2056",5372270,0.379913891,0.001861411,0.000930705,0.382706007
"34",11223,"Gravesend",268,227,306,179,200,170,188,190,220,221,208,158,166,187,191,205,176,237,198,172,191,222,213,241,219,229,234,245,247,224,260,284,283,284,279,300,"Gravesend Library",40.5905889,-73.9718017,11223,78322,2618,"2041",10,5,"2056",5372270,0.379913891,0.001861411,0.000930705,0.382706007
"35",11223,"Highlawn",505,440,478,310,527,359,312,428,434,419,426,413,525,430,498,424,387,492,373,353,391,63,400,542,520,556,534,503,538,544,460,445,504,503,480,628,"Highlawn Library",40.6056972,-73.9862328,11223,78322,5398,"2041",10,5,"2056",5372270,0.379913891,0.001861411,0.000930705,0.382706007
"36",11224,"Coney Island",NA,NA,NA,244,715,682,671,828,775,299,329,339,413,381,385,353,298,348,340,310,360,363,391,374,413,408,336,398,342,400,373,402,465,450,471,486,"Coney Island Library",40.576766,-73.9861146,11224,78322,4729,"658",5,2,"665",3999168,0.164534223,0.00125026,0.000500104,0.166284587
"37",11225,"Crown Heights",541,617,635,442,566,430,487,507,532,400,475,523,492,468,478,480,404,490,415,400,380,440,407,420,470,506,524,453,453,474,419,422,426,455,456,508,"Crown Heights Library",40.6612033,-73.9481499,11225,78322,5744,"669",4,0,"673",2289249,0.292235576,0.001747298,0,0.293982874
"38",11226,"Cortelyou",830,856,1025,646,806,651,612,743,629,585,563,533,529,560,615,506,435,580,483,440,511,539,497,617,597,628,580,596,557,485,448,497,561,565,543,553,"Cortelyou Library",40.6407953,-73.9659493,11226,78322,6909,"1246",9,1,"1256",3339497,0.373110082,0.002695017,0.000299446,0.376104545
"39",11226,"Flatbush",294,681,376,240,317,1,333,315,NA,316,284,209,381,397,436,414,397,515,457,408,474,475,445,573,576,513,357,363,451,471,453,420,525,459,502,453,"Flatbush Library",40.6519152,-73.9582713,11226,78322,5948,"1246",9,1,"1256",3339497,0.373110082,0.002695017,0.000299446,0.376104545
"40",11228,"Dyker",8,151,241,170,500,219,181,216,294,291,301,363,269,278,287,310,294,348,306,281,302,323,227,349,296,313,317,324,338,302,281,306,350,331,309,393,"Dyker Library",40.616316,-74.011992,11228,78322,3870,"889",2,0,"891",3807131,0.23350917,0.00052533,0,0.2340345
"41",11229,"Kings Bay",298,564,329,228,317,10,275,314,NA,321,40,189,357,323,374,415,377,465,340,329,377,379,315,387,378,386,418,422,381,389,369,422,392,386,371,271,"Kings Bay Library",40.5948004,-73.9411479,11229,78322,4816,"2007",14,3,"2024",5611289,0.357671829,0.00249497,0.000534637,0.360701436
"42",11229,"Gerritsen Beach",NA,NA,NA,78,107,124,89,80,106,111,97,76,140,141,119,127,99,104,91,73,90,94,108,120,112,116,120,101,111,117,110,126,139,146,159,154,"Gerritsen Beach Library",40.5913411,-73.9240056,11229,78322,1418,"2007",14,3,"2024",5611289,0.357671829,0.00249497,0.000534637,0.360701436
"43",11229,"Kings Highway",910,969,913,773,1043,1037,862,1121,1270,1136,1166,750,1058,1129,1231,1218,1131,1269,1081,1074,1266,1440,1376,1531,1279,1351,1196,1372,1309,1277,1256,1353,1593,1424,1617,1737,"Kings Highway Library",40.6102427,-73.9531128,11229,78322,16083,"2007",14,3,"2024",5611289,0.357671829,0.00249497,0.000534637,0.360701436
"44",11230,"Midwood",384,734,479,344,440,20,375,387,NA,439,21,544,499,524,522,552,439,560,433,426,500,441,509,593,568,555,561,580,567,577,555,535,559,634,661,741,"Midwood Library",40.625907,-73.9604005,11230,78322,6566,"2065",25,5,"2095",4765012,0.433367219,0.005246577,0.001049315,0.439663111
"45",11231,"Carroll Gardens",138,384,426,332,409,305,360,399,419,302,346,336,330,347,470,420,389,448,363,359,438,404,385,488,484,440,451,444,463,413,473,450,513,500,504,489,"Carroll Gardens Library",40.6832136,-73.9980195,11231,78322,5325,"1132",13,0,"1145",3683315,0.307331846,0.003529429,0,0.310861276
"46",11231,"Red Hook",218,278,215,185,189,152,177,122,147,132,111,152,156,145,175,196,186,279,169,141,176,167,134,155,155,139,134,132,133,105,129,118,124,142,128,131,"Red Hook Library",40.675218,-74.0103309,11231,78322,2234,"1132",13,0,"1145",3683315,0.307331846,0.003529429,0,0.310861276
"47",11233,"Macon",629,687,654,445,624,476,549,542,524,481,488,369,525,468,534,537,471,612,476,524,546,537,468,564,592,607,678,537,559,557,583,619,639,675,678,640,"Macon Library",40.683018,-73.9347867,11233,78322,6854,"461",7,0,"468",3491031,0.13205268,0.002005138,0,0.134057818
"48",11233,"Saratoga",496,480,590,390,532,418,422,473,434,361,389,382,440,460,464,490,431,563,431,333,403,486,429,461,526,547,508,470,469,473,460,439,504,490,434,456,"Saratoga Library",40.6848011,-73.9151493,11233,78322,5917,"461",7,0,"468",3491031,0.13205268,0.002005138,0,0.134057818
"49",11234,"Flatlands",384,432,510,418,465,400,354,377,325,259,255,4,224,234,264,261,219,271,255,233,212,233,199,224,286,258,288,241,222,250,235,252,238,261,278,312,"Flatlands Library",40.6197623,-73.9332112,11234,78322,3115,"1758",14,4,"1776",19547849,0.089933169,0.000716191,0.000204626,0.090853986
"50",11234,"Mill Basin",294,322,368,297,367,287,256,274,280,216,229,155,258,229,243,255,298,349,260,207,267,236,244,218,107,120,138,219,248,243,215,260,280,265,270,220,"Mill Basin Library",40.6198366,-73.9169737,11234,78322,3171,"1758",14,4,"1776",19547849,0.089933169,0.000716191,0.000204626,0.090853986
"51",11234,"Paerdegat",267,253,237,168,229,185,206,199,200,222,193,218,259,226,233,216,141,NA,95,146,183,186,191,213,259,268,259,222,217,239,195,248,246,212,277,261,"Paerdegat Library",40.632631,-73.9199872,11234,78322,NA,"1758",14,4,"1776",19547849,0.089933169,0.000716191,0.000204626,0.090853986
"52",11235,"Brighton Beach",453,440,382,261,359,274,254,339,357,335,326,289,353,350,384,377,303,414,303,315,355,391,365,402,397,404,328,365,366,371,134,NA,0,NA,NA,0,"Brighton Beach Library",40.5761784,-73.9667995,11235,78322,4709,"2497",17,2,"2516",5816304,0.429310435,0.002922818,0.000343861,0.432577114
"53",11235,"Sheepshead Bay",166,268,151,108,145,1,167,177,NA,146,8,81,244,205,218,223,202,284,226,225,237,255,238,265,244,267,276,275,241,235,283,284,300,312,300,350,"Sheepshead Bay Library",40.5869957,-73.9554271,11235,78322,3066,"2497",17,2,"2516",5816304,0.429310435,0.002922818,0.000343861,0.432577114
"54",11236,"Canarsie",467,478,493,365,411,356,377,345,326,377,327,374,356,346,326,403,377,500,400,389,444,456,435,418,400,426,479,488,396,404,400,459,433,422,451,494,"Canarsie Library",40.6422096,-73.8995356,11236,78322,5250,"966",11,3,"980",9311387,0.103743943,0.001181349,0.000322186,0.105247478
"55",11236,"Jamaica Bay",266,269,313,241,318,207,214,267,275,242,236,258,300,265,279,251,182,244,175,186,206,247,187,216,254,228,259,246,225,206,187,229,235,226,246,264,"Jamaica Bay Library",40.6344877,-73.889304,11236,78322,2992,"966",11,3,"980",9311387,0.103743943,0.001181349,0.000322186,0.105247478
"56",11237,"Washington Irving",564,671,781,513,674,536,407,439,360,289,322,243,259,284,326,341,285,347,300,264,313,279,279,293,296,337,344,359,372,326,293,330,367,360,372,192,"Washington Irving Library",40.697487,-73.912237,11237,78322,3866,"985",11,1,"997",2537578,0.388165408,0.004334842,0.000394077,0.392894327
"57",11238,"Clinton Hill",276,423,437,297,NA,NA,NA,NA,NA,197,320,406,493,409,499,486,439,517,420,409,431,446,457,534,546,525,565,509,420,453,444,449,489,511,463,498,"Clinton Hill Library",40.6873791,-73.9660288,11238,78322,6086,"1005",7,1,"1013",2863622,0.350954141,0.002444457,0.000349208,0.353747806
"58",11238,"Bedford",352,437,401,326,434,318,375,456,423,342,369,295,369,423,414,453,431,480,401,384,481,449,423,476,497,518,522,542,474,464,488,531,520,464,444,484,"Bedford Library",40.6818136,-73.9562073,11238,78322,5681,"1005",7,1,"1013",2863622,0.350954141,0.002444457,0.000349208,0.353747806
"59",11238,"Central Library",10221,10343,10618,7922,12393,10941,8827,11951,12352,13830,12336,14978,16019,14805,13998,14199,12369,14149,12988,12473,15143,16981,16994,17238,18575,17402,16521,16526,15614,14985,14535,15128,17590,18747,18497,19790,"Brooklyn Central Library",40.6721709,-73.9681011,11238,78322,195931,"1005",7,1,"1013",2863622,0.350954141,0.002444457,0.000349208,0.353747806
